aaa1,"Aardewerk enz. Pos.A, M"
aab1,"Aardewerk enz. Pos.B, M"
aac1,"Aardewerk enz. Pos.C, M"
aad3,Aardewerk enz. Pos.D
aax1,"Aardewerk enz., M"
aax2,"Aardewerk enz., V"
boa1,"Drukkersbedrijven Pos.A, M"
bob1,"Drukkersbedrijven Pos.B, M"
boc1,"Drukkersbedrijven Pos.C, M"
bod1,"Drukkersbedrijven Pos.D, M"
box1,"Drukkersbedrijven, M"
box2,"Drukkersbedrijven, V"
bua1,"Bouwbedrijven enz. Pos.A, M"
bub1,"Bouwbedrijven enz. Pos.B, M"
buc1,"Bouwbedrijven enz. Pos.C, M"
bud1,"Bouwbedrijven enz. Pos.D, M"
bux1,"Bouwbedrijven, M"
bux2,"Bouwbedrijven, V"
cha1,"Chemische nijverheid Pos.A, M"
chb1,"Chemische nijverheid Pos.B, M"
chc1,"Chemische nijverheid Pos.C, M"
chd1,"Chemische nijverheid Pos.D, M"
chx1,"Chemische nijverheid, M"
chx2,"Chemische nijverheid, V"
dia1,"Diamant Pos.A, M"
dib1,"Diamant Pos.B, M"
dic1,"Diamant Pos.C, M"
did1,"Diamant Pos.D, M"
dix1,"Diamant, M"
dix2,"Diamant, V"
hoa1,"Houtbewerking Pos.A, M"
hob1,"Houtbewerking Pos.B, M"
hoc1,"Houtbewerking Pos.C, M"
hod1,"Houtbewerking Pos.D, M"
hox1,"Houtbewerking, M"
hox2,"Houtbewerking, V"
hux1,"Huiselijke diensten, M"
hux2,"Huiselijke diensten, V"
kex1,"Godsdienst, M"
kex2,"Godsdienst, V"
kla1,"Kleding enz. Pos.A, M"
klb1,"Kleding enz. Pos.B, M"
klc1,"Kleding enz. Pos.C, M"
kld1,"Kleding enz. Pos.D, M"
klx1,"Kleding enz., M"
klx2,"Kleding enz., V"
krx1,"Krediet- en Bankwezen, M"
krx2,"Krediet- en Bankwezen, V"
kua1,"Kunstnijverheid Pos.A, M"
kub1,"Kunstnijverheid Pos.B, M"
kuc1,"Kunstnijverheid Pos.C, M"
kud1,"Kunstnijverheid Pos.D, M"
kux1,"Kunstnijverheid, M"
kux2,"Kunstnijverheid, V"
lax1,"Landbouwbedrijven, M"
lax2,"Landbouwbedrijven, V"
lea1,"Leder enz. Pos.A, M"
leb1,"Leder enz. Pos.B, M"
lec1,"Leder enz. Pos.C, M"
led1,"Leder enz. Pos.D, M"
lex1,"Leder enz., M"
lex2,"Leder enz., V"
lox1,"Losse werklieden, M"
lox2,"Losse werklieden, V"
mex1,"Metaalbewerking enz., M"
mex2,"Metaalbewerking enz., V"
mwx1,"Metalen (winnen en eerste bew. van), steenkool, enz., M"
mwx2,"Metalen (winnen en eerste bew. van), steenkool, enz., V"
onx1,"Onderwijs, M"
onx2,"Onderwijs, V"
pax1,"Papier enz., M"
pax2,"Papier enz., V"
tex1,"Textiele nijverheid, M"
tex2,"Textiele nijverheid, V"
tox1,"Totale beroepsbevolking, M"
tox2,"Totale beroepsbevolking, V"
vex1,"Verkeerswezen, M"
vex2,"Verkeerswezen, V"
vix1,"Visserij en Jacht, M"
vix2,"Visserij en Jacht, V"
vlx1,"Verlichting (excl. fabrikage van olie, enz.), M"
vlx2,"Verlichting (excl. fabrikage van olie, enz.), V"
vox1,"Voedings- en genotmiddelen, M"
vox2,"Voedings- en genotmiddelen, V"
vrx1,"Vrije beroepen, M"
vrx2,"Vrije beroepen, V"
vzx1,"Verzekeringswezen, M"
vzx2,"Verzekeringswezen, V"
wax1,"Handel, M"
wax2,"Handel, V"
gaa1,"Gas en Electriciteit Pos.A, M"
gab1,"Gas en Electriciteit Pos.B, M"
gac1,"Gas en Electriciteit Pos.C, M"
gad1,"Gas en Electriciteit Pos.D, M"
gax1,"Gas en Electriciteit, M"
gax2,"Gas en Electriciteit, V"
gaz1,"Gas en Electriciteit Pos.C/D, M"
kra1,"Krediet- en Bankwezen Pos.A, M"
krb1,"Krediet- en Bankwezen Pos.B, M"
krc1,"Krediet- en Bankwezen Pos.C, M"
krd1,"Krediet- en Bankwezen Pos.D, M"
krz1,"Krediet- en Bankwezen Pos.C/D, M"
laa1,"Landbouwbedrijven Pos.A, M"
lab1,"Landbouwbedrijven Pos.B, M"
lac1,"Landbouwbedrijven Pos.C, M"
lad1,"Landbouwbedrijven Pos.D, M"
laz1,"Landbouwbedrijven Pos.C/D, M"
mix1,"Mijnen, veenderij, M"
mix2,"Mijnen, veenderij, V"
piha,Percentage van beroepsbevolking in handel en verkeer
piin,Percentage van beroepsbevolking in industrie
pila,Percentage van beroepsbevolking in landbouw
tea1,"Textiele nijverheid Pos.A, M"
teb1,"Textiele nijverheid Pos.B, M"
tec1,"Textiele nijverheid Pos.C, M"
ted1,"Textiele nijverheid Pos.D, M"
tez1,"Textiele nijverheid Pos.C/D, M"
toa1,"Totale beroepsbevolking Pos.A, M"
tob1,"Totale beroepsbevolking Pos.B, M"
toc1,"Totale beroepsbevolking Pos.C, M"
tod1,"Totale beroepsbevolking Pos.D, M"
toz1,"Totale beroepsbevolking Pos.C/D, M"
vea1,"Verkeerswezen Pos.A, M"
veb1,"Verkeerswezen Pos.B, M"
