"ID","code","indicator","year","amsterdam_code","naam"
"1","NLSTR","Strikes in Netherlands","1907","10702","LEIDEN"
"2","NLSTR","Strikes in Netherlands","1941","10834","OSS"
"3","NLSTR","Strikes in Netherlands","2001","11150","AMSTERDAM"
"4","NLSTR","Strikes in Netherlands","2001","11133","RIJSWIJK"
"5","NLSTR","Strikes in Netherlands","2001","10018","ALMERE"
"5","NLSTR","Strikes in Netherlands","2001","10302","GOUDA"
"5","NLSTR","Strikes in Netherlands","2001","10345","ROTTERDAM"
"5","NLSTR","Strikes in Netherlands","2001","10722","UTRECHT"
"5","NLSTR","Strikes in Netherlands","2001","10093","ZWOLLE"
"6","NLSTR","Strikes in Netherlands","2001","11150","AMSTERDAM"
"7","NLSTR","Strikes in Netherlands","2001","11314","ROZENBURG"
"8","NLSTR","Strikes in Netherlands","2001","10795","ARNHEM"
"8","NLSTR","Strikes in Netherlands","2001","10374","NIEUWEGEIN"
"9","NLSTR","Strikes in Netherlands","2001","10093","ZWOLLE"
"10","NLSTR","Strikes in Netherlands","2001","","LAND"
"11","NLSTR","Strikes in Netherlands","2001","","LAND"
"12","NLSTR","Strikes in Netherlands","2001","11053","ALMELO"
"13","NLSTR","Strikes in Netherlands","2001","","LAND"
"14","NLSTR","Strikes in Netherlands","2001","10285","DEN HELDER"
"15","NLSTR","Strikes in Netherlands","2001","10345","ROTTERDAM"
"16","NLSTR","Strikes in Netherlands","2001","10704","TERNEUZEN"
"17","NLSTR","Strikes in Netherlands","2001","10834","OSS"
"18","NLSTR","Strikes in Netherlands","2001","11150","AMSTERDAM"
"19","NLSTR","Strikes in Netherlands","1947","10834","OSS"
"20","NLSTR","Strikes in Netherlands","1947","11224","VUGHT"
"21","NLSTR","Strikes in Netherlands","1947","10620","VELSEN"
"22","NLSTR","Strikes in Netherlands","1947","11150","AMSTERDAM"
"1","NLSTR","Strikes in Netherlands","1907","10702","LEIDEN"
"2","NLSTR","Strikes in Netherlands","1941","10834","OSS"
"3","NLSTR","Strikes in Netherlands","2001","11150","AMSTERDAM"
"4","NLSTR","Strikes in Netherlands","2001","11133","RIJSWIJK"
"5","NLSTR","Strikes in Netherlands","2001","10018","ALMERE"
"5","NLSTR","Strikes in Netherlands","2001","10302","GOUDA"
"5","NLSTR","Strikes in Netherlands","2001","10345","ROTTERDAM"
"5","NLSTR","Strikes in Netherlands","2001","10722","UTRECHT"
"5","NLSTR","Strikes in Netherlands","2001","10093","ZWOLLE"
"6","NLSTR","Strikes in Netherlands","2001","11150","AMSTERDAM"
"7","NLSTR","Strikes in Netherlands","2001","11314","ROZENBURG"
"8","NLSTR","Strikes in Netherlands","2001","10795","ARNHEM"
"8","NLSTR","Strikes in Netherlands","2001","10374","NIEUWEGEIN"
"9","NLSTR","Strikes in Netherlands","2001","10093","ZWOLLE"
"10","NLSTR","Strikes in Netherlands","2001","","LAND"
"11","NLSTR","Strikes in Netherlands","2001","","LAND"
"12","NLSTR","Strikes in Netherlands","2001","11053","ALMELO"
"13","NLSTR","Strikes in Netherlands","2001","","LAND"
"14","NLSTR","Strikes in Netherlands","2001","10285","DEN HELDER"
"15","NLSTR","Strikes in Netherlands","2001","10345","ROTTERDAM"
"16","NLSTR","Strikes in Netherlands","2001","10704","TERNEUZEN"
"17","NLSTR","Strikes in Netherlands","2001","10834","OSS"
"18","NLSTR","Strikes in Netherlands","2001","11150","AMSTERDAM"
"19","NLSTR","Strikes in Netherlands","1947","10834","OSS"
"20","NLSTR","Strikes in Netherlands","1947","11224","VUGHT"
"21","NLSTR","Strikes in Netherlands","1947","10620","VELSEN"
"22","NLSTR","Strikes in Netherlands","1947","11150","AMSTERDAM"
"23","NLSTR","Strikes in Netherlands","2001","","LAND"
"24","NLSTR","Strikes in Netherlands","2001","","LAND"
"25","NLSTR","Strikes in Netherlands","1863","10361","WORMERVEER"
"26","NLSTR","Strikes in Netherlands","1863","10546","STEENWIJK"
"27","NLSTR","Strikes in Netherlands","1863","10030","BROUWERSHAVEN"
"28","NLSTR","Strikes in Netherlands","1864","10546","STEENWIJK"
"29","NLSTR","Strikes in Netherlands","1864","10792","TILBURG"
"30","NLSTR","Strikes in Netherlands","1864","10154","BREDA"
"31","NLSTR","Strikes in Netherlands","1864","10254","ZUTPHEN"
"32","NLSTR","Strikes in Netherlands","1865","11150","AMSTERDAM"
"33","NLSTR","Strikes in Netherlands","1865","10620","VELSEN"
"34","NLSTR","Strikes in Netherlands","1865","10620","VELSEN"
"35","NLSTR","Strikes in Netherlands","1867","11150","AMSTERDAM"
"36","NLSTR","Strikes in Netherlands","1876","11150","AMSTERDAM"
"37","NLSTR","Strikes in Netherlands","1877","11150","AMSTERDAM"
"38","NLSTR","Strikes in Netherlands","1877","10795","ARNHEM"
"39","NLSTR","Strikes in Netherlands","1878","10899","DEVENTER"
"40","NLSTR","Strikes in Netherlands","1878","11150","AMSTERDAM"
"41","NLSTR","Strikes in Netherlands","1878","","HEYENOORD"
"42","NLSTR","Strikes in Netherlands","1879","10867","SLOTEN"
"43","NLSTR","Strikes in Netherlands","1913","10816","BEEMSTER"
"44","NLSTR","Strikes in Netherlands","1913","10886","APPINGEDAM"
"44","NLSTR","Strikes in Netherlands","1913","11294","BIERUM"
"44","NLSTR","Strikes in Netherlands","1913","10976","DELFZIJL"
"44","NLSTR","Strikes in Netherlands","1913","10934","LOPPERSUM"
"44","NLSTR","Strikes in Netherlands","1913","","TERMUNTEN#"
"45","NLSTR","Strikes in Netherlands","1913","10899","DEVENTER"
"46","NLSTR","Strikes in Netherlands","1913","11259","LOON OP ZAND"
"47","NLSTR","Strikes in Netherlands","1913","11044","ZAANDAM"
"48","NLSTR","Strikes in Netherlands","1896","10345","ROTTERDAM"
